experiment,mode,gamma,phase,phase_iteration,t,objective_estimate,reg_objective_estimate,sample_loss,beta_min,beta_max
adaptive gamma,adaptive,0.1,0,0,0,1.6151711549387222,64335.56642796648,1.5125947365173786,1.7064846416382253e-05,1.7064846416382253e-05
adaptive gamma,adaptive,0.1,0,1,1,1.6141938635692419,64335.56547968406,1.4603242149723112,1.7063839984431518e-05,1.7173514486898332e-05
adaptive gamma,adaptive,0.1,0,2,2,1.6131264629410744,64335.56449836053,1.4177897342201267,1.7062972960036845e-05,1.727807430309604e-05
adaptive gamma,adaptive,0.1,0,3,3,1.612062923043868,64335.56358986549,1.6540210298496332,1.7061899513034548e-05,1.7412761893584537e-05
adaptive gamma,adaptive,0.1,0,4,4,1.6113202598001632,64335.56298385199,1.8251762488760686,1.7061167094456637e-05,1.7479385961624758e-05
adaptive gamma,adaptive,0.1,0,5,5,1.6107872874248137,64335.562568895875,2.20958485403047,1.7060231773534846e-05,1.753732739199576e-05
adaptive gamma,adaptive,0.1,0,6,6,1.6107111565363659,64335.56251749882,1.6463609704593796,1.7057500697638637e-05,1.7524769849642958e-05
adaptive gamma,adaptive,0.1,0,7,7,1.6100800701217028,64335.562050347624,1.81448073001726,1.7056929382256952e-05,1.7571624690995643e-05
adaptive gamma,adaptive,0.1,0,8,8,1.6098725304251436,64335.561897594394,1.5135676556707185,1.7056727968527632e-05,1.757031571587409e-05
adaptive gamma,adaptive,0.1,0,9,9,1.6091814966668854,64335.56140962928,1.3612962153342567,1.7056549509828327e-05,1.7626031435993305e-05
adaptive gamma,adaptive,0.1,0,10,10,1.60838699664253,64335.56088520333,1.472043518913027,1.7056627105893415e-05,1.767741748805255e-05
adaptive gamma,adaptive,0.1,0,11,11,1.6076209190708417,64335.5604107716,2.034764008756033,1.705628308692273e-05,1.7770643507327754e-05
adaptive gamma,adaptive,0.1,0,12,12,1.6076950559906866,64335.5604599836,2.031138627861756,1.705545882571581e-05,1.7742261498751164e-05
adaptive gamma,adaptive,0.1,0,13,13,1.6076660062392998,64335.560457814114,1.6957167948201288,1.705420643892877e-05,1.7724014544623567e-05
adaptive gamma,adaptive,0.1,0,14,14,1.6071870011352365,64335.560177509455,1.6975090596009073,1.7053459542462224e-05,1.7779604823831637e-05
adaptive gamma,adaptive,0.1,0,15,15,1.6066991886052526,64335.55991204236,1.6950148626834909,1.7052635689700883e-05,1.7836841248268004e-05
adaptive gamma,adaptive,0.1,0,16,16,1.606146610402374,64335.55962999404,1.9414584886433421,1.7051434410504913e-05,1.7965042523462445e-05
adaptive gamma,adaptive,0.1,0,17,17,1.6060842345518433,64335.55961606446,1.8959560853661392,1.7050513583244432e-05,1.7982624593487738e-05
adaptive gamma,adaptive,0.1,0,18,18,1.6059078548162196,64335.559549947706,1.4762522139599252,1.704937513293126e-05,1.8038278929896374e-05
adaptive gamma,adaptive,0.1,0,19,19,1.6052883386800223,64335.55922179842,1.5300942324748912,1.7049447006692866e-05,1.8063808011938126e-05
adaptive gamma,adaptive,0.1,0,20,20,1.6048434214888516,64335.558999372646,1.2796585043531221,1.7049627277748603e-05,1.809484285491601e-05
adaptive gamma,adaptive,0.1,0,21,21,1.6040914208331407,64335.55865120585,1.7844846089055983,1.7050004446281218e-05,1.8121981276793506e-05
adaptive gamma,adaptive,0.1,0,22,22,1.6037942550446553,64335.55855023931,1.8288925333445314,1.7048784484346868e-05,1.8178681862264843e-05
adaptive gamma,adaptive,0.1,0,23,23,1.603816241871248,64335.558563248414,1.6220638209903484,1.7048672241565928e-05,1.8160807643909527e-05
adaptive gamma,adaptive,0.01,1,0,24,1.6035857245354836,6434.9990742536565,2.0554176722388355,1.7048851737177414e-05,1.8156247239927943e-05
adaptive gamma,adaptive,0.01,1,1,25,1.603204565589253,6434.9987208749135,1.816502946581672,1.7046618374145095e-05,1.8212825739518965e-05
adaptive gamma,adaptive,0.01,1,2,26,1.602479677671768,6434.998046581708,1.7524300598333846,1.7044828622172547e-05,1.8344539073653655e-05
adaptive gamma,adaptive,0.01,1,3,27,1.601587008094001,6434.997220663215,1.276831761848042,1.704282167756485e-05,1.8539798778656263e-05
adaptive gamma,adaptive,0.01,1,4,28,1.6001923934792401,6434.9959278582455,1.5124922562488328,1.7042416893751187e-05,1.8616246288472963e-05
adaptive gamma,adaptive,0.01,1,5,29,1.5993724195593455,6434.995172488496,1.7109491236003844,1.704218502042646e-05,1.8638282437284996e-05
adaptive gamma,adaptive,0.01,1,6,30,1.5985227694835784,6434.994398815779,1.7398904928147239,1.7040762724829963e-05,1.8777921471612162e-05
adaptive gamma,adaptive,0.01,1,7,31,1.5979881946258159,6434.993912719429,1.588384785593753,1.704025842625139e-05,1.8802552766393107e-05
adaptive gamma,adaptive,0.01,1,8,32,1.597141127716252,6434.9931443161395,1.7213854298981222,1.703965368050014e-05,1.88632842580333e-05
adaptive gamma,adaptive,0.01,1,9,33,1.5963035412697695,6434.9923914659985,1.4192473009313598,1.7038126089727118e-05,1.901043721308148e-05
adaptive gamma,adaptive,0.01,1,10,34,1.5952204544222743,6434.991417851283,1.378794036953579,1.7037740218420816e-05,1.9069292939970797e-05
adaptive gamma,adaptive,0.01,1,11,35,1.5940984329789594,6434.990414751769,1.2631500331532137,1.703742271505132e-05,1.9119617448871797e-05
adaptive gamma,adaptive,0.01,1,12,36,1.592756429901942,6434.989225132901,2.1171548638970505,1.7037127762075296e-05,1.9199845666731534e-05
adaptive gamma,adaptive,0.01,1,13,37,1.5925864637049545,6434.989078882898,1.8946241208901573,1.7035268221248897e-05,1.9196150810767588e-05
adaptive gamma,adaptive,0.01,1,14,38,1.5921495223676057,6434.988697546122,1.4380868849097936,1.7034026968808022e-05,1.923772358391196e-05
adaptive gamma,adaptive,0.01,1,15,39,1.591116305717256,6434.9877936473695,1.9821703167990075,1.7033665563798025e-05,1.929435751557844e-05
adaptive gamma,adaptive,0.01,1,16,40,1.5909064996751106,6434.987613594377,1.8452226368117142,1.703271879311154e-05,1.929778678329391e-05
adaptive gamma,adaptive,0.01,1,17,41,1.5904952523426161,6434.987258949941,1.6199361892773951,1.703195681054151e-05,1.9326480168603684e-05
adaptive gamma,adaptive,0.01,1,18,42,1.5896919205340105,6434.98656034751,1.2550225836441662,1.703124962600192e-05,1.94195646756276e-05
adaptive gamma,adaptive,0.01,1,19,43,1.588489851576502,6434.98552379659,1.8983487113713664,1.7031162850076292e-05,1.9504796622098018e-05
adaptive gamma,adaptive,0.01,1,20,44,1.5880825570731991,6434.985178355595,1.7685524622669233,1.702996443802086e-05,1.952300798439567e-05
adaptive gamma,adaptive,0.01,1,21,45,1.5873822365404573,6434.984581317594,1.32906106274118,1.7028486416367786e-05,1.9599230914141256e-05
adaptive gamma,adaptive,0.01,1,22,46,1.5861048350492504,6434.983490696585,1.393207512075707,1.70280535735601e-05,1.9768172380075066e-05
adaptive gamma,adaptive,0.01,1,23,47,1.5850239828864052,6434.982582201619,1.5275579423227255,1.7027763795232815e-05,1.988436442218882e-05
adaptive gamma,adaptive,0.001,2,0,48,1.5839683846944514,644.9237412092699,1.2030244430204409,1.702678533736579e-05,2.0024531823884085e-05
adaptive gamma,adaptive,0.001,2,1,49,1.5822284304877088,644.9220300574982,1.9700482467771212,1.7026122067494546e-05,2.0325570020889346e-05
adaptive gamma,adaptive,0.001,2,2,50,1.5819449541545763,644.9217517041233,1.9606533638126689,1.7025272727407807e-05,2.0328545725556554e-05
adaptive gamma,adaptive,0.001,2,3,51,1.5813707075350414,644.9211881791969,1.6455024316410336,1.7023192967716817e-05,2.0363808538541385e-05
adaptive gamma,adaptive,0.001,2,4,52,1.580552345663005,644.9203842672348,1.9889987165908773,1.702251132596985e-05,2.0432832432341943e-05
adaptive gamma,adaptive,0.001,2,5,53,1.5801518835078203,644.9199916797409,1.7919762381089603,1.7021023496431877e-05,2.044844873355699e-05
adaptive gamma,adaptive,0.001,2,6,54,1.5796745278839206,644.9195232536263,1.4467835213001512,1.7020515208485625e-05,2.046776118411221e-05
adaptive gamma,adaptive,0.001,2,7,55,1.5784521095050805,644.9183240430378,1.9737367566477155,1.7019827851388773e-05,2.0619914941962542e-05
adaptive gamma,adaptive,0.001,2,8,56,1.5779671440615237,644.9178491044322,1.3866002295568358,1.7017985156538334e-05,2.0645777248649183e-05
adaptive gamma,adaptive,0.001,2,9,57,1.5767124424211223,644.9166195610139,1.8988352907875803,1.701750456979877e-05,2.0792601646482106e-05
adaptive gamma,adaptive,0.001,2,10,58,1.576019946260184,644.9159418724822,1.9222142054800115,1.7015358941278317e-05,2.0845905929169593e-05
adaptive gamma,adaptive,0.001,2,11,59,1.575610652438294,644.9155415937738,1.9542513074968708,1.7014330169334625e-05,2.0862097659275135e-05
adaptive gamma,adaptive,0.001,2,12,60,1.575273864346364,644.9152125444008,1.5819639127432406,1.7013369927902866e-05,2.0870317060465087e-05
adaptive gamma,adaptive,0.001,2,13,61,1.5742716184365968,644.9142317480744,1.7708431196472512,1.7012539949856076e-05,2.0978505518387792e-05
adaptive gamma,adaptive,0.001,2,14,62,1.5735368732636055,644.913513463923,1.4627113523763193,1.701135974327073e-05,2.1040221969866622e-05
adaptive gamma,adaptive,0.001,2,15,63,1.5724067032679825,644.9124084471317,1.504307591377771,1.7010811633868846e-05,2.1167299867550942e-05
adaptive gamma,adaptive,0.001,2,16,64,1.5711607736560016,644.9111898636451,1.934482239900709,1.700975101270924e-05,2.1335661617603546e-05
adaptive gamma,adaptive,0.001,2,17,65,1.570586107814887,644.9106293467454,1.8563808172638936,1.700781792409565e-05,2.137386566348332e-05
adaptive gamma,adaptive,0.001,2,18,66,1.5699661172787551,644.91002483264,1.6338159008228057,1.7006479349480786e-05,2.141764830426953e-05
adaptive gamma,adaptive,0.001,2,19,67,1.5691290436948118,644.9092078868009,1.6065560953499114,1.70058092968726e-05,2.1493575964411157e-05
adaptive gamma,adaptive,0.001,2,20,68,1.5682087732286836,644.9083095486026,1.4286830297874027,1.7005069491764513e-05,2.158540209090076e-05
adaptive gamma,adaptive,0.001,2,21,69,1.5669784409392864,644.9071095670669,1.960085793478611,1.7004460805661944e-05,2.174283286443245e-05
adaptive gamma,adaptive,0.001,2,22,70,1.5666822020640259,644.9068217425925,1.553706671501236,1.700360021846291e-05,2.174669555730046e-05
adaptive gamma,adaptive,0.001,2,23,71,1.5656330322059147,644.905798809604,1.8110016622281901,1.7002805376673166e-05,2.186780273668005e-05
adaptive gamma,adaptive,0.0001,3,0,72,1.5650817235732795,65.8990998011746,1.4968101235112692,1.7001988226355845e-05,2.1901393487022692e-05
adaptive gamma,adaptive,0.0001,3,1,73,1.563966533606434,65.897987499741,1.4815817887463716,1.700135247920567e-05,2.2030216667208613e-05
adaptive gamma,adaptive,0.0001,3,2,74,1.5626823953088687,65.8967068316125,1.3818508019748026,1.700039531198528e-05,2.2206063384712515e-05
adaptive gamma,adaptive,0.0001,3,3,75,1.5611365333438056,65.89516513694684,1.498206160209158,1.6999322271037457e-05,2.2464447005896396e-05
adaptive gamma,adaptive,0.0001,3,4,76,1.5598279273530637,65.89386022363522,1.311175408399343,1.6998183915288095e-05,2.265549118769602e-05
adaptive gamma,adaptive,0.0001,3,5,77,1.558401886097061,65.8924383737956,1.7721896408125086,1.6997738630340705e-05,2.2841157170822855e-05
adaptive gamma,adaptive,0.0001,3,6,78,1.5576388366701972,65.89167766118217,1.6856375081447732,1.6996544962984625e-05,2.2909924874504246e-05
adaptive gamma,adaptive,0.0001,3,7,79,1.5567650777833666,65.89080652349207,1.7029855224189543,1.6995528310760793e-05,2.2999624971793502e-05
adaptive gamma,adaptive,0.0001,3,8,80,1.5558165346183648,65.88986091608845,1.6449283603583096,1.6994134522288674e-05,2.3106212599469068e-05
adaptive gamma,adaptive,0.0001,3,9,81,1.554911130590991,65.88895832069511,1.5632912544344055,1.6993280089801373e-05,2.320084794987272e-05
adaptive gamma,adaptive,0.0001,3,10,82,1.5539622298325473,65.88801241552513,1.7643540989534612,1.699272779412977e-05,2.3296492187442416e-05
adaptive gamma,adaptive,0.0001,3,11,83,1.553149131636897,65.88720198244754,1.930707154442718,1.699139458486464e-05,2.3375998689862286e-05
adaptive gamma,adaptive,0.0001,3,12,84,1.552512470527297,65.88656750934577,1.533645885772927,1.698938900109247e-05,2.3423469582430834e-05
adaptive gamma,adaptive,0.0001,3,13,85,1.5512754793169228,65.8853344675206,1.200541247509477,1.6988276708933745e-05,2.3596780756841112e-05
adaptive gamma,adaptive,0.0001,3,14,86,1.5496125679766584,65.8836769815263,1.1458440933909706,1.698784083781018e-05,2.386903417501892e-05
adaptive gamma,adaptive,0.0001,3,15,87,1.547934109422858,65.88200424377925,1.4810101160161684,1.698753593274591e-05,2.4119906685205923e-05
adaptive gamma,adaptive,0.0001,3,16,88,1.546711586204732,65.88078582323489,1.219950363366096,1.6986821919616395e-05,2.428007294607947e-05
adaptive gamma,adaptive,0.0001,3,17,89,1.545109284596551,65.87918912956704,1.1857838391510058,1.6986422927402087e-05,2.4531931422253334e-05
adaptive gamma,adaptive,0.0001,3,18,90,1.5431034209570234,65.8771902946086,1.904232505993391,1.698551514869387e-05,2.495456453620596e-05
adaptive gamma,adaptive,0.0001,3,19,91,1.5427336981333049,65.87682197817,2.0450568216580636,1.6984776437964895e-05,2.496632147929911e-05
adaptive gamma,adaptive,0.0001,3,20,92,1.5422540958223854,65.87634429655513,1.3044132421331311,1.698249429876727e-05,2.4992373629695136e-05
adaptive gamma,adaptive,0.0001,3,21,93,1.540502142549251,65.87459878454331,1.653092307033792,1.6981502225858956e-05,2.533320067584956e-05
adaptive gamma,adaptive,0.0001,3,22,94,1.5396487701951593,65.87374870593538,1.5285030325387712,1.698078380718688e-05,2.542166941733435e-05
adaptive gamma,adaptive,0.0001,3,23,95,1.5383382172148434,65.87244326535118,1.7322089119892854,1.697953892413451e-05,2.5629211254626187e-05
adaptive gamma,adaptive,0.0001,3,24,96,1.5373427711791905,65.87145182693598,1.7084643268466444,1.6977810690378323e-05,2.5753151348083404e-05
adaptive gamma,adaptive,0.0001,3,25,97,1.5362648746213172,65.8703783211333,1.779116352530206,1.6975954431816172e-05,2.5896019892661405e-05
adaptive gamma,adaptive,0.0001,3,26,98,1.5353836865445412,65.86950078065675,1.6641010901340982,1.6974274152478328e-05,2.5996358543389548e-05
adaptive gamma,adaptive,0.0001,3,27,99,1.5342158467316025,65.86833777595896,2.0260315015151282,1.697245611512806e-05,2.6231674790637043e-05
adaptive gamma,adaptive,0.0001,3,28,100,1.53378103235095,65.86790490442664,1.6994724835950248,1.6970590475437434e-05,2.6267236976749023e-05
adaptive gamma,adaptive,0.0001,3,29,101,1.5327966164141769,65.86692465645146,1.4150197748272535,1.6969186497875614e-05,2.6431274419906854e-05
adaptive gamma,adaptive,0.0001,3,30,102,1.5315696602265971,65.86570287008826,1.1987141445240526,1.696873449357963e-05,2.6541143237140362e-05
adaptive gamma,adaptive,0.0001,3,31,103,1.5299552454212475,65.86409537424309,1.5370851889520363,1.6968404733250452e-05,2.6725121496097423e-05
adaptive gamma,adaptive,0.0001,3,32,104,1.5288623314312528,65.86300713430265,1.1798390537757086,1.6967727065422295e-05,2.6868210305274217e-05
adaptive gamma,adaptive,0.0001,3,33,105,1.527033302374041,65.86118615782199,1.3345968888615674,1.696719267617723e-05,2.7230927186442574e-05
adaptive gamma,adaptive,0.0001,3,34,106,1.525690495275567,65.85984931986401,1.1733228858824791,1.6966835057789494e-05,2.7419546173181273e-05
adaptive gamma,adaptive,0.0001,3,35,107,1.523594922858243,65.85776317427172,1.102664086094924,1.6965903009626544e-05,2.7920225606852594e-05
adaptive gamma,adaptive,0.0001,3,36,108,1.521471103436658,65.85564917292716,1.0523032137569013,1.6965255718216338e-05,2.843006214752381e-05
adaptive gamma,adaptive,0.0001,3,37,109,1.519541495652265,65.85372886033528,1.5811846418394566,1.6964974812466586e-05,2.8787763719011477e-05
adaptive gamma,adaptive,0.0001,3,38,110,1.518325923956716,65.85251919440239,1.6137281366009024,1.6963753784159145e-05,2.8986637604122173e-05
adaptive gamma,adaptive,0.0001,3,39,111,1.5172078343496909,65.851406553698,1.3690916903637114,1.6962609536738396e-05,2.9157424590998484e-05
adaptive gamma,adaptive,0.0001,3,40,112,1.5156406800783384,65.84984729732633,1.5409467229299603,1.6961797538848018e-05,2.9457811239954278e-05
adaptive gamma,adaptive,0.0001,3,41,113,1.5146383045527443,65.84884984927754,1.4829855410548134,1.6961315851494223e-05,2.9580951347966115e-05
adaptive gamma,adaptive,0.0001,3,42,114,1.513470159269328,65.84768766571011,1.3665949812407627,1.6960760772721713e-05,2.9751921726247482e-05
adaptive gamma,adaptive,0.0001,3,43,115,1.5120178572207839,65.84624272059573,1.4837319248587835,1.6960191299986665e-05,3.000778175331026e-05
adaptive gamma,adaptive,0.0001,3,44,116,1.510788397725369,65.84501968674996,1.4126619921041923,1.6959524838849536e-05,3.020393486203663e-05
adaptive gamma,adaptive,0.0001,3,45,117,1.509287450464041,65.8435266655969,1.6303241557304107,1.6958644261396943e-05,3.0497254778150047e-05
adaptive gamma,adaptive,0.0001,3,46,118,1.508271775305394,65.84251641139525,1.5661432288077386,1.6957715633725328e-05,3.064447126519849e-05
adaptive gamma,adaptive,0.0001,3,47,119,1.5071466832014053,65.84139747094676,1.2729452741727076,1.695690607002099e-05,3.081433854738884e-05
adaptive gamma,adaptive,0.0001,3,48,120,1.5055061877147415,65.83976595938884,1.8941727109799782,1.695639432378795e-05,3.113576972693966e-05
adaptive gamma,adaptive,0.0001,3,49,121,1.5047641418129125,65.8390280908109,1.5583857433343258,1.695441170281978e-05,3.121697298835093e-05
adaptive gamma,adaptive,0.0001,3,50,122,1.5035276032269038,65.83779853438499,1.39161067753044,1.6953380021787146e-05,3.142524200442356e-05
adaptive gamma,adaptive,0.0001,3,51,123,1.502033028249759,65.83631228547156,1.0703479930942967,1.6952652388398877e-05,3.1717177620547544e-05
adaptive gamma,adaptive,0.0001,3,52,124,1.4998452172884762,65.83413705708082,1.3291997119492431,1.6952116102781248e-05,3.2273632960922514e-05
adaptive gamma,adaptive,0.0001,3,53,125,1.4981889268173036,65.83249022501272,1.7184472420401955,1.6951407722394337e-05,3.262778322203894e-05
adaptive gamma,adaptive,0.0001,3,54,126,1.4973181243690235,65.83162456290862,1.7244302896201935,1.6950396029363517e-05,3.274472470282822e-05
adaptive gamma,adaptive,0.0001,3,55,127,1.4962251947329857,65.83053811193258,1.7492832267303673,1.6948545698844064e-05,3.292176443491847e-05
adaptive gamma,adaptive,0.0001,3,56,128,1.49541717261102,65.82973484408824,1.728710329341179,1.6947486030438307e-05,3.302578620969909e-05
adaptive gamma,adaptive,0.0001,3,57,129,1.4946009892896646,65.82892357010545,1.5324862356549593,1.694656283495679e-05,3.312977877504971e-05
adaptive gamma,adaptive,0.0001,3,58,130,1.4933679567461884,65.8276979637394,1.2031375289286534,1.6945703871079014e-05,3.334936475891675e-05
adaptive gamma,adaptive,0.0001,3,59,131,1.4915853647319264,65.82592620109364,1.8697938605331044,1.694527444130982e-05,3.373068890436068e-05
adaptive gamma,adaptive,0.0001,3,60,132,1.490862093410701,65.82520741227545,1.5689631931238566,1.694358629445467e-05,3.381679043734916e-05
adaptive gamma,adaptive,0.0001,3,61,133,1.4896805731499148,65.82403332595302,1.7400700300392247,1.6942683660265916e-05,3.4018922768495355e-05
adaptive gamma,adaptive,0.0001,3,62,134,1.4888811386474006,65.82323880360147,1.3095871302803364,1.6941723380008264e-05,3.412152555173427e-05
adaptive gamma,adaptive,0.0001,3,63,135,1.4870350614271246,65.82140423433106,1.1569989744260978,1.6940797478510922e-05,3.457608582836394e-05
adaptive gamma,adaptive,0.0001,3,64,136,1.4848359125483555,65.81921915012487,1.2636370356790527,1.693998393589717e-05,3.519938837799306e-05
adaptive gamma,adaptive,0.0001,3,65,137,1.4832276743704753,65.8176214780955,1.4589390170140695,1.693960046211101e-05,3.551419122915761e-05
adaptive gamma,adaptive,0.0001,3,66,138,1.4818605718408093,65.81626315050347,1.2347768586743382,1.6938899843366936e-05,3.577993575711561e-05
adaptive gamma,adaptive,0.0001,3,67,139,1.4797148176524666,65.81413155552424,1.1258272999708048,1.6937835928963484e-05,3.639392937677341e-05
adaptive gamma,adaptive,0.0001,3,68,140,1.4777950725571263,65.81222495265814,1.2268146805642672,1.6937497923768532e-05,3.6821078827980336e-05
adaptive gamma,adaptive,0.0001,3,69,141,1.4757140699709348,65.81015823277293,1.8808793992811792,1.6936614451006604e-05,3.741296210019366e-05
adaptive gamma,adaptive,0.0001,3,70,142,1.4751686392842516,65.80961650800349,1.5632212623108102,1.693554451176087e-05,3.746592059101226e-05
adaptive gamma,adaptive,0.0001,3,71,143,1.4738180808448222,65.8082751752079,1.694336145303342,1.693431607682061e-05,3.77519729724429e-05
adaptive gamma,adaptive,0.0001,3,72,144,1.4729077581259107,65.80737105808127,1.3791045104402497,1.6933392011517674e-05,3.7893913949187976e-05
adaptive gamma,adaptive,0.0001,3,73,145,1.4713001999424462,65.80577461300302,1.791846536481891,1.6932670833201227e-05,3.826613197475351e-05
adaptive gamma,adaptive,0.0001,3,74,146,1.470218566391223,65.80470066765542,1.929604668932037,1.6930356959432105e-05,3.845377661708874e-05
adaptive gamma,adaptive,0.0001,3,75,147,1.4696161490382724,65.8041025544809,1.4532385823033396,1.692871098102554e-05,3.852013493088269e-05
adaptive gamma,adaptive,0.0001,3,76,148,1.4680162365225229,65.80251415215744,1.163477712243209,1.6927598327099077e-05,3.891054060630304e-05
adaptive gamma,adaptive,0.0001,3,77,149,1.465783341391714,65.80029749811176,1.890026636686902,1.6926826127873708e-05,3.959372618092394e-05
adaptive gamma,adaptive,0.0001,3,78,150,1.46514748880935,65.7996663197288,1.2631218149273409,1.6925436938609637e-05,3.966964150621145e-05
adaptive gamma,adaptive,0.0001,3,79,151,1.4631376229990378,65.79767103807384,1.1154636684577313,1.692463453039371e-05,4.023026158810397e-05
adaptive gamma,adaptive,0.0001,3,80,152,1.460877900890289,65.79542843193538,1.307955357333235,1.6924031999125367e-05,4.0918647358874226e-05
adaptive gamma,adaptive,0.0001,3,81,153,1.459098761904117,65.793662872605,1.1610876531895298,1.692336790835777e-05,4.138843214356017e-05
adaptive gamma,adaptive,0.0001,3,82,154,1.456744445335694,65.79132653392993,1.2504561729929733,1.6922507639430026e-05,4.216588384395786e-05
adaptive gamma,adaptive,0.0001,3,83,155,1.454717951634335,65.7893156928263,1.667893392326511,1.692176155168816e-05,4.2772063712306105e-05
adaptive gamma,adaptive,0.0001,3,84,156,1.4535180383205095,65.78812514033875,1.4070817734205192,1.692030664162458e-05,4.3032963672309036e-05
adaptive gamma,adaptive,0.0001,3,85,157,1.4519913288386317,65.78661019115485,1.104973423255545,1.6919700353320648e-05,4.3391775190431694e-05
adaptive gamma,adaptive,0.0001,3,86,158,1.4494154296850157,65.78405486164341,1.3915688305941698,1.691882553841787e-05,4.432273615113663e-05
adaptive gamma,adaptive,0.0001,3,87,159,1.447821961583326,65.78247423242884,1.4694894010899229,1.6918161925519027e-05,4.473938714023509e-05
adaptive gamma,adaptive,0.0001,3,88,160,1.4462349843049656,65.7809001728866,1.2056689286585267,1.6917136901005757e-05,4.5170983739663754e-05
adaptive gamma,adaptive,0.0001,3,89,161,1.444062155470178,65.77874538199045,1.2068631877534721,1.691641197713822e-05,4.588811796540639e-05
adaptive gamma,adaptive,0.0001,3,90,162,1.4422318637021498,65.77693036774507,1.0382590497687492,1.6916061412181423e-05,4.636893786606849e-05
adaptive gamma,adaptive,0.0001,3,91,163,1.439455993277799,65.77417797266371,1.6312348244915982,1.6915281029927428e-05,4.7464329350813174e-05
adaptive gamma,adaptive,0.0001,3,92,164,1.4381863798701222,65.77291921181912,1.5786272813242102,1.6914020571300794e-05,4.7776611410764646e-05
adaptive gamma,adaptive,0.0001,3,93,165,1.4371032334571059,65.77184521978488,1.500447015036062,1.6913427059208518e-05,4.80037743990383e-05
adaptive gamma,adaptive,0.0001,3,94,166,1.4358593933933872,65.77061191678148,1.197619613224359,1.6912897449307777e-05,4.828430099606331e-05
adaptive gamma,adaptive,0.0001,3,95,167,1.4338659459806706,65.76863599865622,1.487417823279716,1.691244607971236e-05,4.888784063026686e-05
adaptive gamma,adaptive,0.0001,3,96,168,1.432450966400224,65.7672334995193,0.9510275697827486,1.6911717964505273e-05,4.925729546344398e-05
adaptive gamma,adaptive,0.0001,3,97,169,1.4296475202245644,65.7644552797662,1.4872233635697467,1.6911227144780518e-05,5.035755335737803e-05
adaptive gamma,adaptive,0.0001,3,98,170,1.4280683237141205,65.76289008353488,2.060046633226111,1.6910238297832776e-05,5.082257007966532e-05
adaptive gamma,adaptive,0.0001,3,99,171,1.4274771500409098,65.76230414969254,1.41680307219947,1.6907425720709068e-05,5.08936307631507e-05
adaptive gamma,adaptive,0.0001,3,100,172,1.4257933028243224,65.76063528250826,1.3350584352837154,1.690664876849093e-05,5.139362390807209e-05
adaptive gamma,adaptive,0.0001,3,101,173,1.4237125336550394,65.75857340203557,1.5482020379578527,1.6905625929479998e-05,5.212277064351701e-05
adaptive gamma,adaptive,0.0001,3,102,174,1.4222028593526903,65.75707766198413,1.5237158135978723,1.690443140946161e-05,5.257080276809743e-05
